         x         y         z          analitic          solution          pogreshn
       480         0     -1000                 0                 0                 0
       500         0     -1000                 0                 0                 0
       525         0     -1000                 0                 0                 0
     562.5         0     -1000                 0                 0                 0
    618.75         0     -1000                 0                 0                 0
   703.125         0     -1000                 0                 0                 0
   829.688         0     -1000                 0                 0                 0
      1000         0     -1000                 0                 0                 0
     -1000        25     -1000                 0                 0                 0
    -812.5        25     -1000                 0                 0                 0
      -475        25     -1000                 0                 0                 0
      -250        25     -1000                 0                 0                 0
      -100        25     -1000                 0                 0                 0
         0        25     -1000                 0                 0                 0
        25        25     -1000                 0                 0                 0
      52.5        25     -1000                 0                 0                 0
     82.75        25     -1000                 0                 0                 0
   116.025        25     -1000                 0                 0                 0
   152.627        25     -1000                 0                 0                 0
    192.89        25     -1000                 0                 0                 0
   237.179        25     -1000                 0                 0                 0
   285.897        25     -1000                 0                 0                 0
   339.487        25     -1000                 0                 0                 0
       400        25     -1000                 0                 0                 0
       420        25     -1000                 0                 0                 0
       440        25     -1000                 0                 0                 0
       460        25     -1000                 0                 0                 0
       480        25     -1000                 0                 0                 0
       500        25     -1000                 0                 0                 0
       525        25     -1000                 0                 0                 0
     562.5        25     -1000                 0                 0                 0
    618.75        25     -1000                 0                 0                 0
   703.125        25     -1000                 0                 0                 0
   829.688        25     -1000                 0                 0                 0
      1000        25     -1000                 0                 0                 0
     -1000      52.5     -1000                 0                 0                 0
    -812.5      52.5     -1000                 0                 0                 0
      -475      52.5     -1000                 0                 0                 0
      -250      52.5     -1000                 0                 0                 0
      -100      52.5     -1000                 0                 0                 0
         0      52.5     -1000                 0                 0                 0
        25      52.5     -1000                 0                 0                 0
      52.5      52.5     -1000                 0                 0                 0
     82.75      52.5     -1000                 0                 0                 0
   116.025      52.5     -1000                 0                 0                 0
   152.627      52.5     -1000                 0                 0                 0
    192.89      52.5     -1000                 0                 0                 0
   237.179      52.5     -1000                 0                 0                 0
   285.897      52.5     -1000                 0                 0                 0
   339.487      52.5     -1000                 0                 0                 0
       400      52.5     -1000                 0                 0                 0
       420      52.5     -1000                 0                 0                 0
       440      52.5     -1000                 0                 0                 0
       460      52.5     -1000                 0                 0                 0
       480      52.5     -1000                 0                 0                 0
       500      52.5     -1000                 0                 0                 0
       525      52.5     -1000                 0                 0                 0
     562.5      52.5     -1000                 0                 0                 0
    618.75      52.5     -1000                 0                 0                 0
   703.125      52.5     -1000                 0                 0                 0
   829.688      52.5     -1000                 0                 0                 0
      1000      52.5     -1000                 0                 0                 0
     -1000     82.75     -1000                 0                 0                 0
    -812.5     82.75     -1000                 0                 0                 0
      -475     82.75     -1000                 0                 0                 0
      -250     82.75     -1000                 0                 0                 0
      -100     82.75     -1000                 0                 0                 0
         0     82.75     -1000                 0                 0                 0
        25     82.75     -1000                 0                 0                 0
      52.5     82.75     -1000                 0                 0                 0
     82.75     82.75     -1000                 0                 0                 0
