14364 14364
1048.72 -464.1 -1000
1243.59 -464.1 -1000
1457.95 -464.1 -1000
1693.74 -464.1 -1000
1953.12 -464.1 -1000
2238.43 -464.1 -1000
2552.27 -464.1 -1000
2897.5 -464.1 -1000
3277.25 -464.1 -1000
3694.97 -464.1 -1000
4000 -464.1 -1000
-1000 -400 -1000
-848.717 -400 -1000
-671.561 -400 -1000
-510.51 -400 -1000
-450 -400 -1000
-364.1 -400 -1000
-231 -400 -1000
-110 -400 -1000
0 -400 -1000
100 -400 -1000
200 -400 -1000
310 -400 -1000
431 -400 -1000
450 -400 -1000
564.1 -400 -1000
710.51 -400 -1000
871.561 -400 -1000
1048.72 -400 -1000
1243.59 -400 -1000
1457.95 -400 -1000
1693.74 -400 -1000
1953.12 -400 -1000
2238.43 -400 -1000
2552.27 -400 -1000
2897.5 -400 -1000
3277.25 -400 -1000
3694.97 -400 -1000
4000 -400 -1000
-1000 -331 -1000
-848.717 -331 -1000
-671.561 -331 -1000
-510.51 -331 -1000
-450 -331 -1000
-364.1 -331 -1000
-231 -331 -1000
-110 -331 -1000
0 -331 -1000
100 -331 -1000
200 -331 -1000
310 -331 -1000
431 -331 -1000
450 -331 -1000
564.1 -331 -1000
710.51 -331 -1000
871.561 -331 -1000
1048.72 -331 -1000
1243.59 -331 -1000
1457.95 -331 -1000
1693.74 -331 -1000
1953.12 -331 -1000
2238.43 -331 -1000
2552.27 -331 -1000
2897.5 -331 -1000
3277.25 -331 -1000
3694.97 -331 -1000
4000 -331 -1000
-1000 -210 -1000
-848.717 -210 -1000
-671.561 -210 -1000
-510.51 -210 -1000
-450 -210 -1000
-364.1 -210 -1000
-231 -210 -1000
-110 -210 -1000
0 -210 -1000
100 -210 -1000
200 -210 -1000
310 -210 -1000
431 -210 -1000
450 -210 -1000
564.1 -210 -1000
710.51 -210 -1000
871.561 -210 -1000
1048.72 -210 -1000
1243.59 -210 -1000
1457.95 -210 -1000
1693.74 -210 -1000
1953.12 -210 -1000
2238.43 -210 -1000
2552.27 -210 -1000
2897.5 -210 -1000
3277.25 -210 -1000
3694.97 -210 -1000
4000 -210 -1000
-1000 -100 -1000
-848.717 -100 -1000
-671.561 -100 -1000
-510.51 -100 -1000
-450 -100 -1000
-364.1 -100 -1000
-231 -100 -1000
-110 -100 -1000
0 -100 -1000
100 -100 -1000
200 -100 -1000
310 -100 -1000
431 -100 -1000
450 -100 -1000
564.1 -100 -1000
710.51 -100 -1000
871.561 -100 -1000
1048.72 -100 -1000
1243.59 -100 -1000
1457.95 -100 -1000
1693.74 -100 -1000
1953.12 -100 -1000
2238.43 -100 -1000
2552.27 -100 -1000
2897.5 -100 -1000
3277.25 -100 -1000
3694.97 -100 -1000
4000 -100 -1000
-1000 0 -1000
-848.717 0 -1000
-671.561 0 -1000
-510.51 0 -1000
-450 0 -1000
-364.1 0 -1000
-231 0 -1000
-110 0 -1000
0 0 -1000
100 0 -1000
200 0 -1000
310 0 -1000
431 0 -1000
450 0 -1000
564.1 0 -1000
