SourceType=1, point({ r = 0; z = 0},i=1716, power=1
Added power 0.159155
         r         z   correctSolution                 q              diff
   3.17725   -73.545                 0        0.00684808        0.00684808
   3.59497   -73.545                 0        0.00684341        0.00684341
   4.05447   -73.545                 0        0.00683763        0.00683763
   4.55992   -73.545                 0        0.00683046        0.00683046
         5   -73.545                 0        0.00682355        0.00682355
         7   -73.545                 0        0.00678399        0.00678399
       9.2   -73.545                 0        0.00672593        0.00672593
     11.62   -73.545                 0        0.00664504        0.00664504
    14.282   -73.545                 0        0.00653636        0.00653636
   17.2102   -73.545                 0        0.00639446        0.00639446
   20.4312   -73.545                 0        0.00621355        0.00621355
   23.9743   -73.545                 0         0.0059878         0.0059878
   27.8718   -73.545                 0        0.00571174        0.00571174
    32.159   -73.545                 0        0.00538081        0.00538081
   36.8748   -73.545                 0        0.00499198        0.00499198
   42.0623   -73.545                 0        0.00454441        0.00454441
   47.7686   -73.545                 0        0.00403995        0.00403995
   54.0454   -73.545                 0        0.00348342        0.00348342
     60.95   -73.545                 0        0.00288239        0.00288239
    68.545   -73.545                 0        0.00224661        0.00224661
   76.8995   -73.545                 0        0.00158689        0.00158689
   86.0894   -73.545                 0       0.000913994       0.000913994
   96.1983   -73.545                 0       0.000237764       0.000237764
       100   -73.545                 0                 0                 0
         0    -65.95                 0         0.0094681         0.0094681
       0.1    -65.95                 0        0.00946807        0.00946807
      0.21    -65.95                 0        0.00946798        0.00946798
     0.331    -65.95                 0        0.00946781        0.00946781
    0.4641    -65.95                 0        0.00946755        0.00946755
   0.61051    -65.95                 0        0.00946715        0.00946715
  0.771561    -65.95                 0        0.00946659        0.00946659
  0.948717    -65.95                 0        0.00946583        0.00946583
   1.14359    -65.95                 0        0.00946481        0.00946481
   1.35795    -65.95                 0        0.00946347        0.00946347
   1.59374    -65.95                 0        0.00946173        0.00946173
   1.85312    -65.95                 0         0.0094595         0.0094595
   2.13843    -65.95                 0        0.00945666        0.00945666
   2.45227    -65.95                 0        0.00945307        0.00945307
    2.7975    -65.95                 0        0.00944855        0.00944855
   3.17725    -65.95                 0        0.00944291        0.00944291
   3.59497    -65.95                 0        0.00943587        0.00943587
   4.05447    -65.95                 0        0.00942714        0.00942714
   4.55992    -65.95                 0        0.00941634        0.00941634
         5    -65.95                 0        0.00940593        0.00940593
         7    -65.95                 0        0.00934632        0.00934632
       9.2    -65.95                 0        0.00925902        0.00925902
     11.62    -65.95                 0        0.00913766        0.00913766
    14.282    -65.95                 0        0.00897514        0.00897514
   17.2102    -65.95                 0        0.00876381        0.00876381
   20.4312    -65.95                 0        0.00849579        0.00849579
   23.9743    -65.95                 0        0.00816353        0.00816353
   27.8718    -65.95                 0        0.00776041        0.00776041
    32.159    -65.95                 0        0.00728163        0.00728163
   36.8748    -65.95                 0        0.00672507        0.00672507
   42.0623    -65.95                 0        0.00609202        0.00609202
   47.7686    -65.95                 0        0.00538764        0.00538764
   54.0454    -65.95                 0        0.00462094        0.00462094
     60.95    -65.95                 0        0.00380406        0.00380406
    68.545    -65.95                 0        0.00295105        0.00295105
   76.8995    -65.95                 0        0.00207619        0.00207619
