TITLE = "Slice Z = -450"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 150, J= 1, F=POINT
v1;v2;u0;u_correct
0.00000000000000000e+00;4.50000000000000000e+02;5.45656774692265003e+01;5.45656774692265003e+01
4.02684563758389302e+00;4.50000000000000000e+02;5.45595507112405258e+01;5.45595507112405258e+01
8.05369127516778605e+00;4.50000000000000000e+02;5.45534239532545513e+01;5.45534239532545513e+01
1.20805369127516791e+01;4.50000000000000000e+02;5.45472971952685839e+01;5.45472971952685839e+01
1.61073825503355721e+01;4.50000000000000000e+02;5.45411704372826094e+01;5.45411704372826094e+01
2.01342281879194651e+01;4.50000000000000000e+02;5.45350436792966349e+01;5.45350436792966349e+01
2.41610738255033581e+01;4.50000000000000000e+02;5.45289169213106604e+01;5.45289169213106604e+01
2.81879194630872512e+01;4.50000000000000000e+02;5.45151574573517337e+01;5.45151574573517337e+01
3.22147651006711442e+01;4.50000000000000000e+02;5.44993893865578087e+01;5.44993893865578087e+01
3.62416107382550337e+01;4.50000000000000000e+02;5.44836213157638838e+01;5.44836213157638838e+01
4.02684563758389302e+01;4.50000000000000000e+02;5.44678532449699588e+01;5.44678532449699588e+01
4.42953020134228268e+01;4.50000000000000000e+02;5.44520851741760268e+01;5.44520851741760268e+01
4.83221476510067163e+01;4.50000000000000000e+02;5.44363171033821089e+01;5.44363171033821089e+01
5.23489932885906057e+01;4.50000000000000000e+02;5.44205490325881911e+01;5.44205490325881911e+01
5.63758389261745023e+01;4.50000000000000000e+02;5.43945304335063895e+01;5.43945304335063895e+01
6.04026845637583989e+01;4.50000000000000000e+02;5.43681124631926096e+01;5.43681124631926096e+01
6.44295302013422884e+01;4.50000000000000000e+02;5.43416944928788155e+01;5.43416944928788155e+01
6.84563758389261778e+01;4.50000000000000000e+02;5.43152765225650356e+01;5.43152765225650356e+01
7.24832214765100673e+01;4.50000000000000000e+02;5.42888585522512486e+01;5.42888585522512486e+01
7.65100671140939710e+01;4.50000000000000000e+02;5.42624405819374545e+01;5.42624405819374545e+01
8.05369127516778605e+01;4.50000000000000000e+02;5.42360226116236674e+01;5.42360226116236674e+01
8.45637583892617499e+01;4.50000000000000000e+02;5.42042844533904287e+01;5.42042844533904287e+01
8.85906040268456536e+01;4.50000000000000000e+02;5.41660547800177312e+01;5.41660547800177312e+01
9.26174496644295431e+01;4.50000000000000000e+02;5.41278251066450409e+01;5.41278251066450409e+01
9.66442953020134325e+01;4.50000000000000000e+02;5.40895954332723505e+01;5.40895954332723505e+01
1.00671140939597322e+02;4.50000000000000000e+02;5.40513657598996531e+01;5.40513657598996531e+01
1.04697986577181211e+02;4.50000000000000000e+02;5.40131360865269698e+01;5.40131360865269698e+01
1.08724832214765115e+02;4.50000000000000000e+02;5.39749064131542653e+01;5.39749064131542653e+01
1.12751677852349005e+02;4.50000000000000000e+02;5.39366767397815750e+01;5.39366767397815750e+01
1.16778523489932894e+02;4.50000000000000000e+02;5.38959833172756007e+01;5.38959833172756007e+01
1.20805369127516798e+02;4.50000000000000000e+02;5.38445873158693686e+01;5.38445873158693686e+01
1.24832214765100687e+02;4.50000000000000000e+02;5.37931913144631437e+01;5.37931913144631437e+01
