TITLE = "Slice Z = -450"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 150, J= 1, F=POINT
v1;v2;u0;u_correct
1.32885906040268480e+02;0.00000000000000000e+00;6.61135218800135078e+01;6.61135218800135078e+01
1.36912751677852356e+02;0.00000000000000000e+00;6.60481566779814102e+01;6.60481566779814102e+01
1.40939597315436259e+02;0.00000000000000000e+00;6.59827914759492984e+01;6.59827914759492984e+01
1.44966442953020135e+02;0.00000000000000000e+00;6.59174262739171866e+01;6.59174262739171866e+01
1.48993288590604038e+02;0.00000000000000000e+00;6.58520610718850889e+01;6.58520610718850889e+01
1.53020134228187942e+02;0.00000000000000000e+00;6.57848655654251786e+01;6.57848655654251786e+01
1.57046979865771817e+02;0.00000000000000000e+00;6.57007288124905244e+01;6.57007288124905244e+01
1.61073825503355721e+02;0.00000000000000000e+00;6.56165920595558845e+01;6.56165920595558845e+01
1.65100671140939625e+02;0.00000000000000000e+00;6.55324553066212161e+01;6.55324553066212161e+01
1.69127516778523500e+02;0.00000000000000000e+00;6.54483185536865761e+01;6.54483185536865761e+01
1.73154362416107404e+02;0.00000000000000000e+00;6.53641818007519220e+01;6.53641818007519220e+01
1.77181208053691307e+02;0.00000000000000000e+00;6.52800450478172678e+01;6.52800450478172678e+01
1.81208053691275182e+02;0.00000000000000000e+00;6.51959082948826278e+01;6.51959082948826278e+01
1.85234899328859086e+02;0.00000000000000000e+00;6.51117715419479737e+01;6.51117715419479737e+01
1.89261744966442961e+02;0.00000000000000000e+00;6.50276347890133195e+01;6.50276347890133195e+01
1.93288590604026865e+02;0.00000000000000000e+00;6.49414081122463926e+01;6.49414081122463926e+01
1.97315436241610769e+02;0.00000000000000000e+00;6.48361442118862783e+01;6.48361442118862783e+01
2.01342281879194644e+02;0.00000000000000000e+00;6.47308803115261782e+01;6.47308803115261782e+01
2.05369127516778548e+02;0.00000000000000000e+00;6.46256164111660638e+01;6.46256164111660638e+01
2.09395973154362423e+02;0.00000000000000000e+00;6.45203525108059495e+01;6.45203525108059495e+01
2.13422818791946327e+02;0.00000000000000000e+00;6.44150886104458493e+01;6.44150886104458493e+01
2.17449664429530230e+02;0.00000000000000000e+00;6.43098247100857208e+01;6.43098247100857208e+01
2.21476510067114106e+02;0.00000000000000000e+00;6.42045608097256064e+01;6.42045608097256064e+01
2.25503355704698009e+02;0.00000000000000000e+00;6.40992969093655063e+01;6.40992969093655063e+01
2.29530201342281913e+02;0.00000000000000000e+00;6.39940330090053777e+01;6.39940330090053777e+01
2.33557046979865788e+02;0.00000000000000000e+00;6.38887691086452634e+01;6.38887691086452634e+01
2.37583892617449692e+02;0.00000000000000000e+00;6.37810990699107236e+01;6.37810990699107236e+01
2.41610738255033596e+02;0.00000000000000000e+00;6.36518887386523176e+01;6.36518887386523176e+01
2.45637583892617471e+02;0.00000000000000000e+00;6.35226784073939257e+01;6.35226784073939257e+01
2.49664429530201375e+02;0.00000000000000000e+00;6.33934680761355054e+01;6.33934680761355054e+01
2.53691275167785250e+02;0.00000000000000000e+00;6.32642577448771135e+01;6.32642577448771135e+01
2.57718120805369153e+02;0.00000000000000000e+00;6.31350474136187003e+01;6.31350474136187003e+01
2.61744966442953057e+02;0.00000000000000000e+00;6.30058370823603013e+01;6.30058370823603013e+01
2.65771812080536961e+02;0.00000000000000000e+00;6.28766267511018953e+01;6.28766267511018953e+01
2.69798657718120808e+02;0.00000000000000000e+00;6.27474164198434892e+01;6.27474164198434892e+01
2.73825503355704711e+02;0.00000000000000000e+00;6.26182060885850973e+01;6.26182060885850973e+01
2.77852348993288615e+02;0.00000000000000000e+00;6.24889957573266912e+01;6.24889957573266912e+01
2.81879194630872519e+02;0.00000000000000000e+00;6.23597854260682780e+01;6.23597854260682780e+01
2.85906040268456422e+02;0.00000000000000000e+00;6.22305150786999377e+01;6.22305150786999377e+01
2.89932885906040269e+02;0.00000000000000000e+00;6.20739589743883613e+01;6.20739589743883613e+01
