         x         y         z          analitic          solution          pogreshn
  -19.7478  -39.4837       -50                 0                 0                 0
  -13.9627  -39.4837       -50                 0                 0                 0
  -9.83052  -39.4837       -50                 0                 0                 0
  -6.87895  -39.4837       -50                 0                 0                 0
  -4.77068  -39.4837       -50                 0                 0                 0
  -3.26477  -39.4837       -50                 0                 0                 0
  -2.18912  -39.4837       -50                 0                 0                 0
   -1.4208  -39.4837       -50                 0                 0                 0
    -0.872  -39.4837       -50                 0                 0                 0
     -0.48  -39.4837       -50                 0                 0                 0
      -0.2  -39.4837       -50                 0                 0                 0
         0  -39.4837       -50                 0                 0                 0
       0.2  -39.4837       -50                 0                 0                 0
      0.48  -39.4837       -50                 0                 0                 0
     0.872  -39.4837       -50                 0                 0                 0
    1.4208  -39.4837       -50                 0                 0                 0
   2.18912  -39.4837       -50                 0                 0                 0
   3.26477  -39.4837       -50                 0                 0                 0
   4.77068  -39.4837       -50                 0                 0                 0
   6.87895  -39.4837       -50                 0                 0                 0
   9.83052  -39.4837       -50                 0                 0                 0
   13.9627  -39.4837       -50                 0                 0                 0
   19.7478  -39.4837       -50                 0                 0                 0
    27.847  -39.4837       -50                 0                 0                 0
   39.1857  -39.4837       -50                 0                 0                 0
     55.06  -39.4837       -50                 0                 0                 0
    77.284  -39.4837       -50                 0                 0                 0
       100  -39.4837       -50                 0                 0                 0
      -100  -29.8336       -50                 0                 0                 0
   -77.284  -29.8336       -50                 0                 0                 0
    -55.06  -29.8336       -50                 0                 0                 0
  -39.1857  -29.8336       -50                 0                 0                 0
   -27.847  -29.8336       -50                 0                 0                 0
  -19.7478  -29.8336       -50                 0                 0                 0
  -13.9627  -29.8336       -50                 0                 0                 0
  -9.83052  -29.8336       -50                 0                 0                 0
  -6.87895  -29.8336       -50                 0                 0                 0
  -4.77068  -29.8336       -50                 0                 0                 0
  -3.26477  -29.8336       -50                 0                 0                 0
  -2.18912  -29.8336       -50                 0                 0                 0
   -1.4208  -29.8336       -50                 0                 0                 0
    -0.872  -29.8336       -50                 0                 0                 0
     -0.48  -29.8336       -50                 0                 0                 0
      -0.2  -29.8336       -50                 0                 0                 0
         0  -29.8336       -50                 0                 0                 0
       0.2  -29.8336       -50                 0                 0                 0
      0.48  -29.8336       -50                 0                 0                 0
     0.872  -29.8336       -50                 0                 0                 0
    1.4208  -29.8336       -50                 0                 0                 0
   2.18912  -29.8336       -50                 0                 0                 0
   3.26477  -29.8336       -50                 0                 0                 0
   4.77068  -29.8336       -50                 0                 0                 0
   6.87895  -29.8336       -50                 0                 0                 0
   9.83052  -29.8336       -50                 0                 0                 0
   13.9627  -29.8336       -50                 0                 0                 0
   19.7478  -29.8336       -50                 0                 0                 0
    27.847  -29.8336       -50                 0                 0                 0
   39.1857  -29.8336       -50                 0                 0                 0
