         x         y         z          analitic          solution          pogreshn
   1.29159         5       -10                 0                 0                 0
   2.07989         5       -10                 0                 0                 0
   2.59587         5       -10                 0                 0                 0
   3.21504         5       -10                 0                 0                 0
   3.95805         5       -10                 0                 0                 0
   4.84966         5       -10                 0                 0                 0
   5.91959         5       -10                 0                 0                 0
   7.20351         5       -10                 0                 0                 0
   8.74421         5       -10                 0                 0                 0
        10         5       -10                 0                 0                 0
       -10       9.5       -10                 0                 0                 0
  -8.74421       9.5       -10                 0                 0                 0
  -7.20351       9.5       -10                 0                 0                 0
  -5.91959       9.5       -10                 0                 0                 0
  -4.84966       9.5       -10                 0                 0                 0
  -3.95805       9.5       -10                 0                 0                 0
  -3.21504       9.5       -10                 0                 0                 0
  -2.59587       9.5       -10                 0                 0                 0
  -2.07989       9.5       -10                 0                 0                 0
  -1.29159       9.5       -10                 0                 0                 0
   -0.5368       9.5       -10                 0                 0                 0
         0       9.5       -10                 0                 0                 0
    0.5368       9.5       -10                 0                 0                 0
   1.29159       9.5       -10                 0                 0                 0
   2.07989       9.5       -10                 0                 0                 0
   2.59587       9.5       -10                 0                 0                 0
   3.21504       9.5       -10                 0                 0                 0
   3.95805       9.5       -10                 0                 0                 0
   4.84966       9.5       -10                 0                 0                 0
   5.91959       9.5       -10                 0                 0                 0
   7.20351       9.5       -10                 0                 0                 0
   8.74421       9.5       -10                 0                 0                 0
        10       9.5       -10                 0                 0                 0
       -10        10       -10                 0                 0                 0
  -8.74421        10       -10                 0                 0                 0
  -7.20351        10       -10                 0                 0                 0
  -5.91959        10       -10                 0                 0                 0
  -4.84966        10       -10                 0                 0                 0
  -3.95805        10       -10                 0                 0                 0
  -3.21504        10       -10                 0                 0                 0
  -2.59587        10       -10                 0                 0                 0
  -2.07989        10       -10                 0                 0                 0
  -1.29159        10       -10                 0                 0                 0
   -0.5368        10       -10                 0                 0                 0
         0        10       -10                 0                 0                 0
    0.5368        10       -10                 0                 0                 0
   1.29159        10       -10                 0                 0                 0
   2.07989        10       -10                 0                 0                 0
   2.59587        10       -10                 0                 0                 0
   3.21504        10       -10                 0                 0                 0
   3.95805        10       -10                 0                 0                 0
   4.84966        10       -10                 0                 0                 0
   5.91959        10       -10                 0                 0                 0
   7.20351        10       -10                 0                 0                 0
   8.74421        10       -10                 0                 0                 0
        10        10       -10                 0                 0                 0
       -10       -10      -9.5                 0                 0                 0
  -8.74421       -10      -9.5                 0                 0                 0
  -7.20351       -10      -9.5                 0                 0                 0
  -5.91959       -10      -9.5                 0                 0                 0
  -4.84966       -10      -9.5                 0                 0                 0
  -3.95805       -10      -9.5                 0                 0                 0
  -3.21504       -10      -9.5                 0                 0                 0
  -2.59587       -10      -9.5                 0                 0                 0
  -2.07989       -10      -9.5                 0                 0                 0
  -1.29159       -10      -9.5                 0                 0                 0
   -0.5368       -10      -9.5                 0                 0                 0
         0       -10      -9.5                 0                 0                 0
    0.5368       -10      -9.5                 0                 0                 0
   1.29159       -10      -9.5                 0                 0                 0
   2.07989       -10      -9.5                 0                 0                 0
   2.59587       -10      -9.5                 0                 0                 0
   3.21504       -10      -9.5                 0                 0                 0
   3.95805       -10      -9.5                 0                 0                 0
   4.84966       -10      -9.5                 0                 0                 0
   5.91959       -10      -9.5                 0                 0                 0
   7.20351       -10      -9.5                 0                 0                 0
   8.74421       -10      -9.5                 0                 0                 0
        10       -10      -9.5                 0                 0                 0
       -10      -9.5      -9.5                 0                 0                 0
  -4.84966      -9.5      -9.5                 0          -13.3461          -13.3461
         0      -9.5      -9.5                 0          -2.45961          -2.45961
   4.84966      -9.5      -9.5                 0          -4.52285          -4.52285
        10      -9.5      -9.5                 0                 0                 0
       -10        -5      -9.5                 0                 0                 0
         0        -5      -9.5                 0            -10.65            -10.65
        10        -5      -9.5                 0                 0                 0
         0        -2      -9.5                 0          -4.66144          -4.66144
       -10         0      -9.5                 0                 0                 0
  -7.20351         0      -9.5                 0          -11.9552          -11.9552
  -4.84966         0      -9.5                 0          -5.74233          -5.74233
  -2.07989         0      -9.5                 0           -5.0962           -5.0962
         0         0      -9.5                 0          -4.00163          -4.00163
   2.07989         0      -9.5                 0          -2.95087          -2.95087
   4.84966         0      -9.5                 0          -1.65872          -1.65872
   7.20351         0      -9.5                 0          0.420407          0.420407
        10         0      -9.5                 0                 0                 0
         0         2      -9.5                 0          -2.59664          -2.59664
       -10         5      -9.5                 0                 0                 0
         0         5      -9.5                 0          -2.03469          -2.03469
        10         5      -9.5                 0                 0                 0
       -10       9.5      -9.5                 0                 0                 0
  -4.84966       9.5      -9.5                 0           -3.8617           -3.8617
         0       9.5      -9.5                 0         0.0929555         0.0929555
   4.84966       9.5      -9.5                 0           4.96157           4.96157
        10       9.5      -9.5                 0                 0                 0
       -10        10      -9.5                 0                 0                 0
  -8.74421        10      -9.5                 0                 0                 0
  -7.20351        10      -9.5                 0                 0                 0
  -5.91959        10      -9.5                 0                 0                 0
  -4.84966        10      -9.5                 0                 0                 0
  -3.95805        10      -9.5                 0                 0                 0
  -3.21504        10      -9.5                 0                 0                 0
  -2.59587        10      -9.5                 0                 0                 0
  -2.07989        10      -9.5                 0                 0                 0
  -1.29159        10      -9.5                 0                 0                 0
   -0.5368        10      -9.5                 0                 0                 0
         0        10      -9.5                 0                 0                 0
    0.5368        10      -9.5                 0                 0                 0
   1.29159        10      -9.5                 0                 0                 0
   2.07989        10      -9.5                 0                 0                 0
   2.59587        10      -9.5                 0                 0                 0
   3.21504        10      -9.5                 0                 0                 0
   3.95805        10      -9.5                 0                 0                 0
   4.84966        10      -9.5                 0                 0                 0
   5.91959        10      -9.5                 0                 0                 0
   7.20351        10      -9.5                 0                 0                 0
   8.74421        10      -9.5                 0                 0                 0
        10        10      -9.5                 0                 0                 0
       -10       -10        -5                 0                 0                 0
  -8.74421       -10        -5                 0                 0                 0
  -7.20351       -10        -5                 0                 0                 0
  -5.91959       -10        -5                 0                 0                 0
  -4.84966       -10        -5                 0                 0                 0
  -3.95805       -10        -5                 0                 0                 0
  -3.21504       -10        -5                 0                 0                 0
  -2.59587       -10        -5                 0                 0                 0
  -2.07989       -10        -5                 0                 0                 0
  -1.29159       -10        -5                 0                 0                 0
   -0.5368       -10        -5                 0                 0                 0
         0       -10        -5                 0                 0                 0
    0.5368       -10        -5                 0                 0                 0
   1.29159       -10        -5                 0                 0                 0
   2.07989       -10        -5                 0                 0                 0
   2.59587       -10        -5                 0                 0                 0
   3.21504       -10        -5                 0                 0                 0
   3.95805       -10        -5                 0                 0                 0
   4.84966       -10        -5                 0                 0                 0
   5.91959       -10        -5                 0                 0                 0
   7.20351       -10        -5                 0                 0                 0
   8.74421       -10        -5                 0                 0                 0
        10       -10        -5                 0                 0                 0
